id;title;description;instruction_set_id
1;Fresh Mouse;../fake-data/blob/hipster.txt;1
2;modular;../fake-data/blob/hipster.txt;2
3;hack;../fake-data/blob/hipster.txt;3
4;upward-trending Account applications;../fake-data/blob/hipster.txt;4
5;Berkshire;../fake-data/blob/hipster.txt;5
6;revolutionary revolutionary;../fake-data/blob/hipster.txt;6
7;generate Mills SSL;../fake-data/blob/hipster.txt;7
8;Berkshire;../fake-data/blob/hipster.txt;8
9;Incredible auxiliary;../fake-data/blob/hipster.txt;9
10;grey Fantastic;../fake-data/blob/hipster.txt;10
