id;name;description;isolated_at;species_id;origin_id
1;functionalities Rubber;../fake-data/blob/hipster.txt;2022-12-22;1;1
2;Walks;../fake-data/blob/hipster.txt;2022-12-21;2;2
3;Illinois;../fake-data/blob/hipster.txt;2022-12-21;3;3
4;(Malvinas) Operative Awesome;../fake-data/blob/hipster.txt;2022-12-22;4;4
5;strategize Idaho;../fake-data/blob/hipster.txt;2022-12-21;5;5
6;navigate;../fake-data/blob/hipster.txt;2022-12-21;6;6
7;high-level;../fake-data/blob/hipster.txt;2022-12-22;7;7
8;Investment;../fake-data/blob/hipster.txt;2022-12-21;8;8
9;communities;../fake-data/blob/hipster.txt;2022-12-21;9;9
10;payment communities Franc;../fake-data/blob/hipster.txt;2022-12-22;10;10
